id,lemmatized_review,combined_sentiment,verified,word_count,dominant_topic,topic_confidence,topic_label
1670,london heathrow cape town return return journey bad long haul flight take british airways boeing configure cram seat possible toilet cater cabin queue people long continuously flight hardly legroom good seat recline way impossible row limbo dance wake row seat seat narrow pressure elbow try sleep large lady entertainment controller armr neighbour constantly switch light accidentally give try watch movie screen close face couldn focus inflight meal poor unlike food internal flight saa excellent british airway lose plot fly,Negative,True,194,3,0.9936,Seat & Comfort
1671,fly gatwick san jose costa rica return good price return flight typically cramp atlantic crossing wife separate unable sit cabin crew professional lot complimentary drink run food average good lot option run flight way plane leave minute late crossing quick hour time cabin crew good main issue plane prepare seat pocket great refer safety material wasn catering disgusting serve vegetable lasagne consist suet like stodge surround runny soup truly horrible bad long haul catering serve think experience bit shoddy average shame middle east carrier well virtually way sad disappointing,Positive,False,206,5,0.9938,Baggage & Check-in
1672,orlando london book business class want comfortable unfortunately british airways pay money end have issue think fly company check hour flight soon online check open system give single seat opposite direction airplane possibilty able change call british airways main office try sort initially tell send note british airway airport airport keep business class seat call main office talk different person case suggest different option abd second officer send second note aeroport soon arrive airport check desk inform receive note seat available fix gate arrive gate ask try ask business passager swap seat feel worth pay business british airway get chaos finally find staff kindly agree ask passenger swap seat behalf finally lagguage priority come,Negative,True,265,2,0.9955,Delays & Punctuality
1673,newark london heathrow time fly long haul goldcard holder travel oneworld carrier lounge newark lovely quiet separate section food offer business passenger super view airfield boarding smooth hard product awful compare competition new boeing ying yang seat configuration air vent high density poor quality food little basic toilet facility compare american business class route shoe bag instead amenity kit product akin excellent premium economy business class product flight attendant motion ask serve breakfast cup tea forget arrival lounge grim tiny plastic linoleum shower cabin clean small overall poor fly option,Negative,True,195,2,0.9941,Delays & Punctuality
1675,london chicago opinion british airways massively decrease value customer europe internationally especially economy passenger move budget airline option free seat selection charge food board short haul flight long haul flight remove second meal shabby option snack instead breakfast lunch meal avio tier point award slash fly take money,Positive,True,100,0,0.9901,Flight Experience
1676,london vancouver return british airways long good value money cost premium economy compare quality service food general age plane fairly pointless exercise plane direction old shabby staff fine don way pleasant experience particular bugbear inability choose seat check online soon open course opportunity pay extra way choose seat food quality decline past year return flight take good hour serve premium economy cabin screen dirty small system reset flight take double price economy don think make sense fly world traveller plus route,Positive,True,173,5,0.9938,Baggage & Check-in
1677,fly london heathrow gibraltar probably time book short haul british airways heathrow long holiday matter cheap overcome structural issue long walk gate delay slot long walk passport control long queue passport control schlep transport willie walsh say day people expect pay high price premium airport slightly hollow laugh constrain class cabin configuration effectively mean majority passenger economy serve cabin crew access rear toilet flight hour mean final row access food water begin descent loo effectively use objection pay food drink get possible actually able use loo reasonably easily like structural flaw offering frustration lack enforcement carry allowance lead scrum bag stow take early day easyjet ryanair allocate seating lucky pampered minority row think use regional airport well general service available loo come single class cabin matter carrier,Positive,True,287,1,0.996,Customer Service
1678,time fly daily service london heathrow singapore choose seat upper deck seat exit row seat locate world traveller plus seat enormous leg space allow passenger fully stretch inflight entertainment adequate feature late movie classical music selection severely limited bbc news menu ironically available strange reason inflight service basic round drink service cabin crew ask passenger drink selection dinner word order orange juice coke wine time cabin crew come clear dinner tray fast passenger finish meal night red eye flight cabin crew come drink lhr vce route operate british airways recently withdraw free inflight snack drink european route passenger require purchase drink snack destination safely punctually frill economy class promotional airfare good resist choose airline,Positive,True,237,0,0.9955,Flight Experience
1679,british airways try bad part budget airline uniquely poor offering recently fly gatwick marrakech despite ticket price twice price easyjet catering new food describe short chaotic return journey good offer hour journey kitkat cost cutting include remove toilet toilet people realistic,Negative,True,86,1,0.9882,Customer Service
1694,hyderabad london travel numerous time good experience past week return hyderabad london business trip downgrade cabin downgrade problem manner staff handle situation apparent lack care effort exude extremely disappointing previous experience inconvenience change cabin fair cancel flight airline instance airline fantastic job provide alternative compensation trouble instance british airways surprised find company care inconvenience ask comparable flight shut tell possible explanation inquire switch partner airline receive refund book different flight airline tell possible realise british airways way try remedy situation ask give circumstance answer hand gift card tell essentially airline legal obligation provide service ticket class purchase flight file claim british airways send email customer service team hop decency try provide sort remedy pleasant experience receive response add understanding british airways value customer business sad painfully bad service likely prevent book future travel airline,Negative,True,351,4,0.9962,Food & Catering
1680,london heathrow cape town return return journey bad long haul flight take british airways boeing configure cram seat possible toilet cater cabin queue people long continuously flight hardly legroom good seat recline way impossible row limbo dance wake row seat seat narrow pressure elbow try sleep large lady entertainment controller armr neighbour constantly switch light accidentally give try watch movie screen close face couldn focus inflight meal poor unlike food internal flight saa excellent british airway lose plot fly,Negative,True,194,3,0.9936,Seat & Comfort
1681,fly gatwick san jose costa rica return good price return flight typically cramp atlantic crossing wife separate unable sit cabin crew professional lot complimentary drink run food average good lot option run flight way plane leave minute late crossing quick hour time cabin crew good main issue plane prepare seat pocket great refer safety material wasn catering disgusting serve vegetable lasagne consist suet like stodge surround runny soup truly horrible bad long haul catering serve think experience bit shoddy average shame middle east carrier well virtually way sad disappointing,Positive,False,206,5,0.9938,Baggage & Check-in
1682,orlando london book business class want comfortable unfortunately british airways pay money end have issue think fly company check hour flight soon online check open system give single seat opposite direction airplane possibilty able change call british airways main office try sort initially tell send note british airway airport airport keep business class seat call main office talk different person case suggest different option abd second officer send second note aeroport soon arrive airport check desk inform receive note seat available fix gate arrive gate ask try ask business passager swap seat feel worth pay business british airway get chaos finally find staff kindly agree ask passenger swap seat behalf finally lagguage priority come,Negative,True,265,2,0.9955,Delays & Punctuality
1683,newark london heathrow time fly long haul goldcard holder travel oneworld carrier lounge newark lovely quiet separate section food offer business passenger super view airfield boarding smooth hard product awful compare competition new boeing ying yang seat configuration air vent high density poor quality food little basic toilet facility compare american business class route shoe bag instead amenity kit product akin excellent premium economy business class product flight attendant motion ask serve breakfast cup tea forget arrival lounge grim tiny plastic linoleum shower cabin clean small overall poor fly option,Negative,True,195,2,0.9941,Delays & Punctuality
1685,london chicago opinion british airways massively decrease value customer europe internationally especially economy passenger move budget airline option free seat selection charge food board short haul flight long haul flight remove second meal shabby option snack instead breakfast lunch meal avio tier point award slash fly take money,Positive,True,100,0,0.9901,Flight Experience
1686,london vancouver return british airways long good value money cost premium economy compare quality service food general age plane fairly pointless exercise plane direction old shabby staff fine don way pleasant experience particular bugbear inability choose seat check online soon open course opportunity pay extra way choose seat food quality decline past year return flight take good hour serve premium economy cabin screen dirty small system reset flight take double price economy don think make sense fly world traveller plus route,Positive,True,173,5,0.9938,Baggage & Check-in
1687,fly london heathrow gibraltar probably time book short haul british airways heathrow long holiday matter cheap overcome structural issue long walk gate delay slot long walk passport control long queue passport control schlep transport willie walsh say day people expect pay high price premium airport slightly hollow laugh constrain class cabin configuration effectively mean majority passenger economy serve cabin crew access rear toilet flight hour mean final row access food water begin descent loo effectively use objection pay food drink get possible actually able use loo reasonably easily like structural flaw offering frustration lack enforcement carry allowance lead scrum bag stow take early day easyjet ryanair allocate seating lucky pampered minority row think use regional airport well general service available loo come single class cabin matter carrier,Positive,True,287,1,0.996,Customer Service
1688,time fly daily service london heathrow singapore choose seat upper deck seat exit row seat locate world traveller plus seat enormous leg space allow passenger fully stretch inflight entertainment adequate feature late movie classical music selection severely limited bbc news menu ironically available strange reason inflight service basic round drink service cabin crew ask passenger drink selection dinner word order orange juice coke wine time cabin crew come clear dinner tray fast passenger finish meal night red eye flight cabin crew come drink lhr vce route operate british airways recently withdraw free inflight snack drink european route passenger require purchase drink snack destination safely punctually frill economy class promotional airfare good resist choose airline,Positive,True,237,0,0.9955,Flight Experience
1689,british airways try bad part budget airline uniquely poor offering recently fly gatwick marrakech despite ticket price twice price easyjet catering new food describe short chaotic return journey good offer hour journey kitkat cost cutting include remove toilet toilet people realistic,Negative,True,86,1,0.9882,Customer Service
1704,hyderabad london travel numerous time good experience past week return hyderabad london business trip downgrade cabin downgrade problem manner staff handle situation apparent lack care effort exude extremely disappointing previous experience inconvenience change cabin fair cancel flight airline instance airline fantastic job provide alternative compensation trouble instance british airways surprised find company care inconvenience ask comparable flight shut tell possible explanation inquire switch partner airline receive refund book different flight airline tell possible realise british airways way try remedy situation ask give circumstance answer hand gift card tell essentially airline legal obligation provide service ticket class purchase flight file claim british airways send email customer service team hop decency try provide sort remedy pleasant experience receive response add understanding british airways value customer business sad painfully bad service likely prevent book future travel airline,Negative,True,351,4,0.9962,Food & Catering
1690,london heathrow cape town return return journey bad long haul flight take british airways boeing configure cram seat possible toilet cater cabin queue people long continuously flight hardly legroom good seat recline way impossible row limbo dance wake row seat seat narrow pressure elbow try sleep large lady entertainment controller armr neighbour constantly switch light accidentally give try watch movie screen close face couldn focus inflight meal poor unlike food internal flight saa excellent british airway lose plot fly,Negative,True,194,3,0.9936,Seat & Comfort
1691,fly gatwick san jose costa rica return good price return flight typically cramp atlantic crossing wife separate unable sit cabin crew professional lot complimentary drink run food average good lot option run flight way plane leave minute late crossing quick hour time cabin crew good main issue plane prepare seat pocket great refer safety material wasn catering disgusting serve vegetable lasagne consist suet like stodge surround runny soup truly horrible bad long haul catering serve think experience bit shoddy average shame middle east carrier well virtually way sad disappointing,Positive,False,206,5,0.9938,Baggage & Check-in
1692,orlando london book business class want comfortable unfortunately british airways pay money end have issue think fly company check hour flight soon online check open system give single seat opposite direction airplane possibilty able change call british airways main office try sort initially tell send note british airway airport airport keep business class seat call main office talk different person case suggest different option abd second officer send second note aeroport soon arrive airport check desk inform receive note seat available fix gate arrive gate ask try ask business passager swap seat feel worth pay business british airway get chaos finally find staff kindly agree ask passenger swap seat behalf finally lagguage priority come,Negative,True,265,2,0.9955,Delays & Punctuality
1693,newark london heathrow time fly long haul goldcard holder travel oneworld carrier lounge newark lovely quiet separate section food offer business passenger super view airfield boarding smooth hard product awful compare competition new boeing ying yang seat configuration air vent high density poor quality food little basic toilet facility compare american business class route shoe bag instead amenity kit product akin excellent premium economy business class product flight attendant motion ask serve breakfast cup tea forget arrival lounge grim tiny plastic linoleum shower cabin clean small overall poor fly option,Negative,True,195,2,0.9941,Delays & Punctuality
1695,london chicago opinion british airways massively decrease value customer europe internationally especially economy passenger move budget airline option free seat selection charge food board short haul flight long haul flight remove second meal shabby option snack instead breakfast lunch meal avio tier point award slash fly take money,Positive,True,100,0,0.9901,Flight Experience
1696,london vancouver return british airways long good value money cost premium economy compare quality service food general age plane fairly pointless exercise plane direction old shabby staff fine don way pleasant experience particular bugbear inability choose seat check online soon open course opportunity pay extra way choose seat food quality decline past year return flight take good hour serve premium economy cabin screen dirty small system reset flight take double price economy don think make sense fly world traveller plus route,Positive,True,173,5,0.9938,Baggage & Check-in
1697,fly london heathrow gibraltar probably time book short haul british airways heathrow long holiday matter cheap overcome structural issue long walk gate delay slot long walk passport control long queue passport control schlep transport willie walsh say day people expect pay high price premium airport slightly hollow laugh constrain class cabin configuration effectively mean majority passenger economy serve cabin crew access rear toilet flight hour mean final row access food water begin descent loo effectively use objection pay food drink get possible actually able use loo reasonably easily like structural flaw offering frustration lack enforcement carry allowance lead scrum bag stow take early day easyjet ryanair allocate seating lucky pampered minority row think use regional airport well general service available loo come single class cabin matter carrier,Positive,True,287,1,0.996,Customer Service
1698,time fly daily service london heathrow singapore choose seat upper deck seat exit row seat locate world traveller plus seat enormous leg space allow passenger fully stretch inflight entertainment adequate feature late movie classical music selection severely limited bbc news menu ironically available strange reason inflight service basic round drink service cabin crew ask passenger drink selection dinner word order orange juice coke wine time cabin crew come clear dinner tray fast passenger finish meal night red eye flight cabin crew come drink lhr vce route operate british airways recently withdraw free inflight snack drink european route passenger require purchase drink snack destination safely punctually frill economy class promotional airfare good resist choose airline,Positive,True,237,0,0.9955,Flight Experience
1699,british airways try bad part budget airline uniquely poor offering recently fly gatwick marrakech despite ticket price twice price easyjet catering new food describe short chaotic return journey good offer hour journey kitkat cost cutting include remove toilet toilet people realistic,Negative,True,86,1,0.9882,Customer Service
1714,hyderabad london travel numerous time good experience past week return hyderabad london business trip downgrade cabin downgrade problem manner staff handle situation apparent lack care effort exude extremely disappointing previous experience inconvenience change cabin fair cancel flight airline instance airline fantastic job provide alternative compensation trouble instance british airways surprised find company care inconvenience ask comparable flight shut tell possible explanation inquire switch partner airline receive refund book different flight airline tell possible realise british airways way try remedy situation ask give circumstance answer hand gift card tell essentially airline legal obligation provide service ticket class purchase flight file claim british airways send email customer service team hop decency try provide sort remedy pleasant experience receive response add understanding british airways value customer business sad painfully bad service likely prevent book future travel airline,Negative,True,351,4,0.9962,Food & Catering
1700,london heathrow cape town return return journey bad long haul flight take british airways boeing configure cram seat possible toilet cater cabin queue people long continuously flight hardly legroom good seat recline way impossible row limbo dance wake row seat seat narrow pressure elbow try sleep large lady entertainment controller armr neighbour constantly switch light accidentally give try watch movie screen close face couldn focus inflight meal poor unlike food internal flight saa excellent british airway lose plot fly,Negative,True,194,3,0.9936,Seat & Comfort
1701,fly gatwick san jose costa rica return good price return flight typically cramp atlantic crossing wife separate unable sit cabin crew professional lot complimentary drink run food average good lot option run flight way plane leave minute late crossing quick hour time cabin crew good main issue plane prepare seat pocket great refer safety material wasn catering disgusting serve vegetable lasagne consist suet like stodge surround runny soup truly horrible bad long haul catering serve think experience bit shoddy average shame middle east carrier well virtually way sad disappointing,Positive,False,206,5,0.9938,Baggage & Check-in
1702,orlando london book business class want comfortable unfortunately british airways pay money end have issue think fly company check hour flight soon online check open system give single seat opposite direction airplane possibilty able change call british airways main office try sort initially tell send note british airway airport airport keep business class seat call main office talk different person case suggest different option abd second officer send second note aeroport soon arrive airport check desk inform receive note seat available fix gate arrive gate ask try ask business passager swap seat feel worth pay business british airway get chaos finally find staff kindly agree ask passenger swap seat behalf finally lagguage priority come,Negative,True,265,2,0.9955,Delays & Punctuality
1703,newark london heathrow time fly long haul goldcard holder travel oneworld carrier lounge newark lovely quiet separate section food offer business passenger super view airfield boarding smooth hard product awful compare competition new boeing ying yang seat configuration air vent high density poor quality food little basic toilet facility compare american business class route shoe bag instead amenity kit product akin excellent premium economy business class product flight attendant motion ask serve breakfast cup tea forget arrival lounge grim tiny plastic linoleum shower cabin clean small overall poor fly option,Negative,True,195,2,0.9941,Delays & Punctuality
1705,london chicago opinion british airways massively decrease value customer europe internationally especially economy passenger move budget airline option free seat selection charge food board short haul flight long haul flight remove second meal shabby option snack instead breakfast lunch meal avio tier point award slash fly take money,Positive,True,100,0,0.9901,Flight Experience
1706,london vancouver return british airways long good value money cost premium economy compare quality service food general age plane fairly pointless exercise plane direction old shabby staff fine don way pleasant experience particular bugbear inability choose seat check online soon open course opportunity pay extra way choose seat food quality decline past year return flight take good hour serve premium economy cabin screen dirty small system reset flight take double price economy don think make sense fly world traveller plus route,Positive,True,173,5,0.9938,Baggage & Check-in
1707,fly london heathrow gibraltar probably time book short haul british airways heathrow long holiday matter cheap overcome structural issue long walk gate delay slot long walk passport control long queue passport control schlep transport willie walsh say day people expect pay high price premium airport slightly hollow laugh constrain class cabin configuration effectively mean majority passenger economy serve cabin crew access rear toilet flight hour mean final row access food water begin descent loo effectively use objection pay food drink get possible actually able use loo reasonably easily like structural flaw offering frustration lack enforcement carry allowance lead scrum bag stow take early day easyjet ryanair allocate seating lucky pampered minority row think use regional airport well general service available loo come single class cabin matter carrier,Positive,True,287,1,0.996,Customer Service
1708,time fly daily service london heathrow singapore choose seat upper deck seat exit row seat locate world traveller plus seat enormous leg space allow passenger fully stretch inflight entertainment adequate feature late movie classical music selection severely limited bbc news menu ironically available strange reason inflight service basic round drink service cabin crew ask passenger drink selection dinner word order orange juice coke wine time cabin crew come clear dinner tray fast passenger finish meal night red eye flight cabin crew come drink lhr vce route operate british airways recently withdraw free inflight snack drink european route passenger require purchase drink snack destination safely punctually frill economy class promotional airfare good resist choose airline,Positive,True,237,0,0.9955,Flight Experience
1709,british airways try bad part budget airline uniquely poor offering recently fly gatwick marrakech despite ticket price twice price easyjet catering new food describe short chaotic return journey good offer hour journey kitkat cost cutting include remove toilet toilet people realistic,Negative,True,86,1,0.9882,Customer Service
1724,hyderabad london travel numerous time good experience past week return hyderabad london business trip downgrade cabin downgrade problem manner staff handle situation apparent lack care effort exude extremely disappointing previous experience inconvenience change cabin fair cancel flight airline instance airline fantastic job provide alternative compensation trouble instance british airways surprised find company care inconvenience ask comparable flight shut tell possible explanation inquire switch partner airline receive refund book different flight airline tell possible realise british airways way try remedy situation ask give circumstance answer hand gift card tell essentially airline legal obligation provide service ticket class purchase flight file claim british airways send email customer service team hop decency try provide sort remedy pleasant experience receive response add understanding british airways value customer business sad painfully bad service likely prevent book future travel airline,Negative,True,351,4,0.9962,Food & Catering
1710,london heathrow cape town return return journey bad long haul flight take british airways boeing configure cram seat possible toilet cater cabin queue people long continuously flight hardly legroom good seat recline way impossible row limbo dance wake row seat seat narrow pressure elbow try sleep large lady entertainment controller armr neighbour constantly switch light accidentally give try watch movie screen close face couldn focus inflight meal poor unlike food internal flight saa excellent british airway lose plot fly,Negative,True,194,3,0.9936,Seat & Comfort
1711,fly gatwick san jose costa rica return good price return flight typically cramp atlantic crossing wife separate unable sit cabin crew professional lot complimentary drink run food average good lot option run flight way plane leave minute late crossing quick hour time cabin crew good main issue plane prepare seat pocket great refer safety material wasn catering disgusting serve vegetable lasagne consist suet like stodge surround runny soup truly horrible bad long haul catering serve think experience bit shoddy average shame middle east carrier well virtually way sad disappointing,Positive,False,206,5,0.9938,Baggage & Check-in
1712,orlando london book business class want comfortable unfortunately british airways pay money end have issue think fly company check hour flight soon online check open system give single seat opposite direction airplane possibilty able change call british airways main office try sort initially tell send note british airway airport airport keep business class seat call main office talk different person case suggest different option abd second officer send second note aeroport soon arrive airport check desk inform receive note seat available fix gate arrive gate ask try ask business passager swap seat feel worth pay business british airway get chaos finally find staff kindly agree ask passenger swap seat behalf finally lagguage priority come,Negative,True,265,2,0.9955,Delays & Punctuality
1713,newark london heathrow time fly long haul goldcard holder travel oneworld carrier lounge newark lovely quiet separate section food offer business passenger super view airfield boarding smooth hard product awful compare competition new boeing ying yang seat configuration air vent high density poor quality food little basic toilet facility compare american business class route shoe bag instead amenity kit product akin excellent premium economy business class product flight attendant motion ask serve breakfast cup tea forget arrival lounge grim tiny plastic linoleum shower cabin clean small overall poor fly option,Negative,True,195,2,0.9941,Delays & Punctuality
1715,london chicago opinion british airways massively decrease value customer europe internationally especially economy passenger move budget airline option free seat selection charge food board short haul flight long haul flight remove second meal shabby option snack instead breakfast lunch meal avio tier point award slash fly take money,Positive,True,100,0,0.9901,Flight Experience
1716,london vancouver return british airways long good value money cost premium economy compare quality service food general age plane fairly pointless exercise plane direction old shabby staff fine don way pleasant experience particular bugbear inability choose seat check online soon open course opportunity pay extra way choose seat food quality decline past year return flight take good hour serve premium economy cabin screen dirty small system reset flight take double price economy don think make sense fly world traveller plus route,Positive,True,173,5,0.9938,Baggage & Check-in
1717,fly london heathrow gibraltar probably time book short haul british airways heathrow long holiday matter cheap overcome structural issue long walk gate delay slot long walk passport control long queue passport control schlep transport willie walsh say day people expect pay high price premium airport slightly hollow laugh constrain class cabin configuration effectively mean majority passenger economy serve cabin crew access rear toilet flight hour mean final row access food water begin descent loo effectively use objection pay food drink get possible actually able use loo reasonably easily like structural flaw offering frustration lack enforcement carry allowance lead scrum bag stow take early day easyjet ryanair allocate seating lucky pampered minority row think use regional airport well general service available loo come single class cabin matter carrier,Positive,True,287,1,0.996,Customer Service
1718,time fly daily service london heathrow singapore choose seat upper deck seat exit row seat locate world traveller plus seat enormous leg space allow passenger fully stretch inflight entertainment adequate feature late movie classical music selection severely limited bbc news menu ironically available strange reason inflight service basic round drink service cabin crew ask passenger drink selection dinner word order orange juice coke wine time cabin crew come clear dinner tray fast passenger finish meal night red eye flight cabin crew come drink lhr vce route operate british airways recently withdraw free inflight snack drink european route passenger require purchase drink snack destination safely punctually frill economy class promotional airfare good resist choose airline,Positive,True,237,0,0.9955,Flight Experience
1719,british airways try bad part budget airline uniquely poor offering recently fly gatwick marrakech despite ticket price twice price easyjet catering new food describe short chaotic return journey good offer hour journey kitkat cost cutting include remove toilet toilet people realistic,Negative,True,86,1,0.9882,Customer Service
1734,hyderabad london travel numerous time good experience past week return hyderabad london business trip downgrade cabin downgrade problem manner staff handle situation apparent lack care effort exude extremely disappointing previous experience inconvenience change cabin fair cancel flight airline instance airline fantastic job provide alternative compensation trouble instance british airways surprised find company care inconvenience ask comparable flight shut tell possible explanation inquire switch partner airline receive refund book different flight airline tell possible realise british airways way try remedy situation ask give circumstance answer hand gift card tell essentially airline legal obligation provide service ticket class purchase flight file claim british airways send email customer service team hop decency try provide sort remedy pleasant experience receive response add understanding british airways value customer business sad painfully bad service likely prevent book future travel airline,Negative,True,351,4,0.9962,Food & Catering
1720,london heathrow cape town return return journey bad long haul flight take british airways boeing configure cram seat possible toilet cater cabin queue people long continuously flight hardly legroom good seat recline way impossible row limbo dance wake row seat seat narrow pressure elbow try sleep large lady entertainment controller armr neighbour constantly switch light accidentally give try watch movie screen close face couldn focus inflight meal poor unlike food internal flight saa excellent british airway lose plot fly,Negative,True,194,3,0.9936,Seat & Comfort
1721,fly gatwick san jose costa rica return good price return flight typically cramp atlantic crossing wife separate unable sit cabin crew professional lot complimentary drink run food average good lot option run flight way plane leave minute late crossing quick hour time cabin crew good main issue plane prepare seat pocket great refer safety material wasn catering disgusting serve vegetable lasagne consist suet like stodge surround runny soup truly horrible bad long haul catering serve think experience bit shoddy average shame middle east carrier well virtually way sad disappointing,Positive,False,206,5,0.9938,Baggage & Check-in
1722,orlando london book business class want comfortable unfortunately british airways pay money end have issue think fly company check hour flight soon online check open system give single seat opposite direction airplane possibilty able change call british airways main office try sort initially tell send note british airway airport airport keep business class seat call main office talk different person case suggest different option abd second officer send second note aeroport soon arrive airport check desk inform receive note seat available fix gate arrive gate ask try ask business passager swap seat feel worth pay business british airway get chaos finally find staff kindly agree ask passenger swap seat behalf finally lagguage priority come,Negative,True,265,2,0.9955,Delays & Punctuality
1723,newark london heathrow time fly long haul goldcard holder travel oneworld carrier lounge newark lovely quiet separate section food offer business passenger super view airfield boarding smooth hard product awful compare competition new boeing ying yang seat configuration air vent high density poor quality food little basic toilet facility compare american business class route shoe bag instead amenity kit product akin excellent premium economy business class product flight attendant motion ask serve breakfast cup tea forget arrival lounge grim tiny plastic linoleum shower cabin clean small overall poor fly option,Negative,True,195,2,0.9941,Delays & Punctuality
1725,london chicago opinion british airways massively decrease value customer europe internationally especially economy passenger move budget airline option free seat selection charge food board short haul flight long haul flight remove second meal shabby option snack instead breakfast lunch meal avio tier point award slash fly take money,Positive,True,100,0,0.9901,Flight Experience
1726,london vancouver return british airways long good value money cost premium economy compare quality service food general age plane fairly pointless exercise plane direction old shabby staff fine don way pleasant experience particular bugbear inability choose seat check online soon open course opportunity pay extra way choose seat food quality decline past year return flight take good hour serve premium economy cabin screen dirty small system reset flight take double price economy don think make sense fly world traveller plus route,Positive,True,173,5,0.9938,Baggage & Check-in
1727,fly london heathrow gibraltar probably time book short haul british airways heathrow long holiday matter cheap overcome structural issue long walk gate delay slot long walk passport control long queue passport control schlep transport willie walsh say day people expect pay high price premium airport slightly hollow laugh constrain class cabin configuration effectively mean majority passenger economy serve cabin crew access rear toilet flight hour mean final row access food water begin descent loo effectively use objection pay food drink get possible actually able use loo reasonably easily like structural flaw offering frustration lack enforcement carry allowance lead scrum bag stow take early day easyjet ryanair allocate seating lucky pampered minority row think use regional airport well general service available loo come single class cabin matter carrier,Positive,True,287,1,0.996,Customer Service
1728,time fly daily service london heathrow singapore choose seat upper deck seat exit row seat locate world traveller plus seat enormous leg space allow passenger fully stretch inflight entertainment adequate feature late movie classical music selection severely limited bbc news menu ironically available strange reason inflight service basic round drink service cabin crew ask passenger drink selection dinner word order orange juice coke wine time cabin crew come clear dinner tray fast passenger finish meal night red eye flight cabin crew come drink lhr vce route operate british airways recently withdraw free inflight snack drink european route passenger require purchase drink snack destination safely punctually frill economy class promotional airfare good resist choose airline,Positive,True,237,0,0.9955,Flight Experience
1729,british airways try bad part budget airline uniquely poor offering recently fly gatwick marrakech despite ticket price twice price easyjet catering new food describe short chaotic return journey good offer hour journey kitkat cost cutting include remove toilet toilet people realistic,Negative,True,86,1,0.9882,Customer Service
1744,hyderabad london travel numerous time good experience past week return hyderabad london business trip downgrade cabin downgrade problem manner staff handle situation apparent lack care effort exude extremely disappointing previous experience inconvenience change cabin fair cancel flight airline instance airline fantastic job provide alternative compensation trouble instance british airways surprised find company care inconvenience ask comparable flight shut tell possible explanation inquire switch partner airline receive refund book different flight airline tell possible realise british airways way try remedy situation ask give circumstance answer hand gift card tell essentially airline legal obligation provide service ticket class purchase flight file claim british airways send email customer service team hop decency try provide sort remedy pleasant experience receive response add understanding british airways value customer business sad painfully bad service likely prevent book future travel airline,Negative,True,351,4,0.9962,Food & Catering
1730,london heathrow cape town return return journey bad long haul flight take british airways boeing configure cram seat possible toilet cater cabin queue people long continuously flight hardly legroom good seat recline way impossible row limbo dance wake row seat seat narrow pressure elbow try sleep large lady entertainment controller armr neighbour constantly switch light accidentally give try watch movie screen close face couldn focus inflight meal poor unlike food internal flight saa excellent british airway lose plot fly,Negative,True,194,3,0.9936,Seat & Comfort
1731,fly gatwick san jose costa rica return good price return flight typically cramp atlantic crossing wife separate unable sit cabin crew professional lot complimentary drink run food average good lot option run flight way plane leave minute late crossing quick hour time cabin crew good main issue plane prepare seat pocket great refer safety material wasn catering disgusting serve vegetable lasagne consist suet like stodge surround runny soup truly horrible bad long haul catering serve think experience bit shoddy average shame middle east carrier well virtually way sad disappointing,Positive,False,206,5,0.9938,Baggage & Check-in
1732,orlando london book business class want comfortable unfortunately british airways pay money end have issue think fly company check hour flight soon online check open system give single seat opposite direction airplane possibilty able change call british airways main office try sort initially tell send note british airway airport airport keep business class seat call main office talk different person case suggest different option abd second officer send second note aeroport soon arrive airport check desk inform receive note seat available fix gate arrive gate ask try ask business passager swap seat feel worth pay business british airway get chaos finally find staff kindly agree ask passenger swap seat behalf finally lagguage priority come,Negative,True,265,2,0.9955,Delays & Punctuality
1733,newark london heathrow time fly long haul goldcard holder travel oneworld carrier lounge newark lovely quiet separate section food offer business passenger super view airfield boarding smooth hard product awful compare competition new boeing ying yang seat configuration air vent high density poor quality food little basic toilet facility compare american business class route shoe bag instead amenity kit product akin excellent premium economy business class product flight attendant motion ask serve breakfast cup tea forget arrival lounge grim tiny plastic linoleum shower cabin clean small overall poor fly option,Negative,True,195,2,0.9941,Delays & Punctuality
1735,london chicago opinion british airways massively decrease value customer europe internationally especially economy passenger move budget airline option free seat selection charge food board short haul flight long haul flight remove second meal shabby option snack instead breakfast lunch meal avio tier point award slash fly take money,Positive,True,100,0,0.9901,Flight Experience
1736,london vancouver return british airways long good value money cost premium economy compare quality service food general age plane fairly pointless exercise plane direction old shabby staff fine don way pleasant experience particular bugbear inability choose seat check online soon open course opportunity pay extra way choose seat food quality decline past year return flight take good hour serve premium economy cabin screen dirty small system reset flight take double price economy don think make sense fly world traveller plus route,Positive,True,173,5,0.9938,Baggage & Check-in
1737,fly london heathrow gibraltar probably time book short haul british airways heathrow long holiday matter cheap overcome structural issue long walk gate delay slot long walk passport control long queue passport control schlep transport willie walsh say day people expect pay high price premium airport slightly hollow laugh constrain class cabin configuration effectively mean majority passenger economy serve cabin crew access rear toilet flight hour mean final row access food water begin descent loo effectively use objection pay food drink get possible actually able use loo reasonably easily like structural flaw offering frustration lack enforcement carry allowance lead scrum bag stow take early day easyjet ryanair allocate seating lucky pampered minority row think use regional airport well general service available loo come single class cabin matter carrier,Positive,True,287,1,0.996,Customer Service
